UserName,Handle,Timestamp,Comments,Likes,Retweets,Text
Websystemer,@Websystemer,2020-09-20T06:23:53.000Z,"Polynote by Netflix — A Unified Notebook for Writing Polyglot Code - https://websystemer.no/polynote-by-netflix%e2%80%8a-%e2%80%8aa-unified-notebook-for-writing-polyglot-code/…

 #machinelearning #multiplelanguagesupport #polynote #ravishankar #unifiednotebook",,,
TheSequenceAI,@TheSequenceAI,2020-09-03T14:49:00.000Z,"-What’s the main limitation of data science notebooks in machine learning architectures?
-What is the core capability of Netflix’s #Polynote?
#QuizTime #datascience #machinelearning #programming #ArtificialIntelligence #netflix
Our regular quiz is here:TheSequence Quiz
Welcome to The Sequence Quiz. Are you ready to test your knowledge after reading TheSequence Edge#18? Be sure to be subscribed to TheSequence.ai if you haven't already: for the active participants we...
docs.google.com",,3,2
TheSequenceAI,@TheSequenceAI,2020-09-02T13:14:32.000Z,"Tomorrow:
+concept of production-ready notebooks
+the challenges with computational notebooks by 
@MSFTResearch
 
+#Polynote, a next-generation notebook platform created by 
@netflix
 
Share and subscribe to get the deep dive!  
https://thesequence.substack.com/subscribe
#datascience #MachineLearningTheSequence
(Core ML concepts + groundbreaking research papers and frameworks + AI news and trends) x 5 minutes, 3 times a week = you steadily becoming knowledgeable about fast developing AI space, saving a huge...
thesequence.substack.com",,4,2
Katie,@k80_ay,2020-08-26T18:43:44.000Z,"@netflix
 #polynote got me likeGIF",,,
Nick Vintila,@semanticbeeng,2020-08-11T16:31:12.000Z,"+ #Polynote uses #Jep (Java embedded Python) so that #JVM and #Python (CPython) code can run in same process space and calling each other seamlessly - no sockets like with #PySpark (see also #ApacheArrow as shared runtime)Quote Tweet
Amine
@AmineBenatmane
 · Nov 8, 2019
Check out #Polynote: an experimental polyglot #notebook environment by @Netflix that allows you to use multiple languages in one notebook. Currently, it supports #Scala and #Python (with or without #Spark), #SQL, and #Vega.

Links:
https://github.com/polynote/polynote…
https://medium.com/netflix-techblog/open-sourcing-polynote-an-ide-inspired-polyglot-notebook-7f929d3f447…
GIF",,1,2
Switchboard Software,@switchboardsoft,2020-08-06T22:49:29.000Z,"Interesting innovation by Netflix...  Netflix’s Polynote is a New Open Source Framework to Build Better Data Science Notebooks - https://bit.ly/2DIdYnW #polynote #datascience #netflix #media #innovationNetflix’s Polynote is a New Open Source Framework to Build Better Data Science Notebooks - KDnuggets
The new notebook environment provides substantial improvements to streamline experimentation in machine learning workflows.
kdnuggets.com",,1,4
Robert Zembowicz,@rzembo,2020-08-06T16:53:01.000Z,"Netflix’s Polynote - New Open Source Framework to Build Better Data Science Notebooks

The new notebook environment provides substantial improvements to streamline experimentation in ML workflows

#MachineLearning #DataScience #Polynote by Jesus RodriguezNetflix’s Polynote is a New Open Source Framework to Build Better Data Science Notebooks - KDnuggets
The new notebook environment provides substantial improvements to streamline experimentation in machine learning workflows.
kdnuggets.com",,4,1
Ganesh Bhat,@ganesh3,2020-08-06T10:20:39.000Z,"#Netflix’s #Polynote is a New #OpenSource Framework to Build Better #DataScience Notebooks by 
@jrdothoughtsNetflix’s Polynote is a New Open Source Framework to Build Better Data Science Notebooks
The new notebook environment provides substantial improvements to streamline experimentation in machine learning workflows.
link.medium.com",,3,2
Colin McGuire,@realColinMac,2020-08-06T02:18:00.000Z,"@netflix
's #Polynote is a new open source framework to build better #DataScience notebooks 

#Data #CodeNewbie #programming #100DaysOfCode #Python #DevOps #freeCodeCamp #STEM #engineering #javascript30 #rstats
#startup #WomenWhoCodeNetflix’s Polynote is a New Open Source Framework to Build Better Data Science Notebooks - KDnuggets
The new notebook environment provides substantial improvements to streamline experimentation in machine learning workflows.
kdnuggets.com",,20,8
Alfredo Olguin,@AlfredoOlguinG,2020-08-05T19:46:06.000Z,"Les recomiendo darle un vistazo a #Polynote la herramienta multilenguaje se software libre de #Netflix para #DataScienceNetflix’s Polynote is a New Open Source Framework to Build Better Data Science Notebooks - KDnuggets
The new notebook environment provides substantial improvements to streamline experimentation in machine learning workflows.
kdnuggets.com",,,2
Lunatech,@LunatechLabs,2020-08-03T09:06:28.000Z,"In our Friday's tech talks series, Vincent Brulé explained the benefits of using #polynote, a better notebook for #scala on our YouTube channel. Enjoy 
! #lunatechlabsLunatech Tech Talks: Polynote, a better notebook for Scala
Lunatech Tech Talks: Polynote, a better notebook for Scala — Vincent Brulé - Software Developer Lunatech Netherlands For more reference please head to https:...
youtube.com",,4,11
nüktem,@NuktemLuta,2020-07-01T12:56:52.000Z,"2. Blog yazisi yayinda! 
@useinsiderTR
 
#MachineLearning #Zeppelin #Polynote #Netflix #BigData #ArtificialIntelligence #PredictiveAnalytics 

Polynote vs Zeppelin: A Comparison by Ceren GüzelgünPolynote vs Zeppelin: A Comparison
As the Predictive Business Unit, we utilize many different tools to make sure our workflow is as smooth as possible. Notebooks are one of…
link.medium.com",,1,
