UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
Betül hacıahmetoğlu,@betul_ahmetoglu,2020-10-16T10:52:53.000Z,"Diğer operatörlerin iki katı para ödeyip turkcell paketi satın al sonrada salla kazan kampanyasından bilmem kaç saatlik 1gb internet versin sana gerçekten hayal kırıklığısınız,müşterilerinizi kaybetmek için elinizden geleni fazlasıyla yapıyorsunuz 
@Turkcell
 #Turkcell",,1,,1
EMRAH PÜRÇEK,@purcekemrah,2020-10-16T10:11:49.000Z,"Kendine gel Turkcell böyle şeylere alışık değilim 
 #Turkcell",🧐,,,
Hasan Beykoz,@beykozhasan61,2020-10-16T09:32:19.000Z,"Bugünden itibaren bende 
@VodafoneTR
 luyum umarım pişman olmam 8yıllık müşterini kaybettiğin için otur ağla sende 
@Turkcell
 #turkcell #Vodafone",,,,
Mehmet SEÇKİN,@mehmetseckin_,2020-10-16T09:04:23.000Z,#Turkcell premium 1 gb Tv abonesiyim cep telefonumdan iptal edemiyorum. IPTAL PREMIUM1GBTV 2000 mesaj gönderiyorum. cevap alamıyorum.,,2,,
Kübra,@kbrakgul,2020-10-16T08:58:30.000Z,Teşekkürler #Turkcell iyi saatlere denk geldik,😀,1,,2
CEVİZ,@Cevizismail,2020-10-16T07:52:43.000Z,"çocukların uzaktan eğitim çalışmalarını istismar etmeniz iletişim hurriyetimizi  ve kişisel sağlığimiza verdiğiniz zararlarda değerlendirilecektir.abuk sabuk naylon şirket hüviyetine donüşme çabanizda , müşteri memnuniyeti ve sorgumalarindan kaçmanizda takip edilecektir.#Turkcell",,,,
CEVİZ,@Cevizismail,2020-10-16T07:46:16.000Z,"Her platformda hukuk ve iletişim özgürlüğü içerisinde ilgili denetleyicilere  cimer , asliye hukuk ve tüketiciyi koruma derneklerine ilgili şikayet ve konularimiz ,fatura ayrıntısı ve 532 çözüm üretme me merkeziniz için vb. yasal haklarımız için basvurulacaktir. #Turkcell",,,,
CEVİZ,@Cevizismail,2020-10-16T07:39:12.000Z,#Turkcell@aylık abone faturası 40 TL olup paket aşımı 1gb 10 kez izinsiz yukleyip kısa bir bildirim gönderip (3 kez)  bunuda 8 saat içerisinde aynı günde yükleyip çocuk telefonunun güncel faturasını 284 lira yapan şirket .irademizi ve cüzdanımizi sizlere asla teslim etmeyeceğiz.,,,,
CEVİZ,@Cevizismail,2020-10-16T07:34:18.000Z,#Turkcell,,,,
Veteriner Hekimi N. Günhan,@HekimNazmi,2020-10-16T06:47:54.000Z,"Teşekkürler #turkcell 
@Turkcell
 @TurkcellHizmet",,,,
Abdurrahim KAYA,@abdurrahim748,2020-10-16T06:15:04.000Z,"Sabah salla kazan yapayım dedim. Hayattaki şansıma bak..
#TwitterDown #turkcell #sallakazan #türkiye #turkey",,,,3
SinceraOslem,@Sinceraoslem,2020-10-16T05:16:50.000Z,"#Turkcell ciğim gel sarılıp barışalım affettim sizi
 arızayı düzeltmişsiniz geçmiyorum başka operatöre 
@Turkcell
 @TurkcellHizmet",😘,2,,3
Озґюр,@ThaiKhe,2020-10-15T21:30:16.000Z,"@Turkcell
 #Turkcell Felakettir!",,,,
Ekonomikus,@Ekonomikuss,2020-10-15T17:30:48.000Z,"TVF'nin #Turkcell hisselerinin yüzde 26.2’sini alarak şirketin ana hissedarı olmasıyla sonuçlanacak hisse devri için, ana sözleşmedeki 19 maddede yapılması planlanan değişiklikler 21 Ekim'deki genel kurul toplantısında görüşülecek.#TCELL",,,,
Evet adım gibi Emin’im,@eminarslan_,2020-10-15T16:54:44.000Z,"Kaç saat sonra yüklenir acaba bir fikriniz var mı. 80 bin Nüfuslu içlenin merkezindeyim. İphone 11 telefon kullanıyorum. Kaç aydır böyleyiz Vodafone olmak pişmanlık mı gerçekten ? . 
@VodafoneTR
  @VodafoneDestek
  #vodafone #Turkcell #türktelekomThe following media includes potentially sensitive content. Change settings
View",💤,1,,3
(Toprak),@Nus2088,2020-10-15T16:45:33.000Z,"Replying to 
@TurkcellHizmetEn azından cevap veriyorsunuz 
@VodafoneTR
 cevap bile vermiyor teşekkürler #Turkcell",,1,,
İsmail Meneviş,@MenevisIsmail,2020-10-15T15:17:38.000Z,"Replying to 
@takasmatik2#Turkcell teşekkürler.",,,,
Finans Gündem,@finansgundemcom,2020-10-15T15:01:57.000Z,Turkcell için kritik gün #Turkcell #TVF #hissedevri - https://finansgundem.com/haber/turkcell-icin-kritik-gun/1525358…,,,3,3
borsagundem,@borsagundem,2020-10-15T15:01:48.000Z,Turkcell için geri sayım başladı #Turkcell #TVF #hissedevri - https://borsagundem.com/haber/turkcell-icin-geri-sayim-basladi/1525357…,,,6,15
ase,@asevvrl,2020-10-15T13:02:33.000Z,"1,5 aydır altyapıdan kaynaklı internetimiz yok,altyapı türk telekomun onların yapması lazım diyorsunuz. Sizin müşterinizken türktelekoma mı hesap soralım bu nasıl saçmalık! Üniversite öğrenciyim kardeşim lise ögrencisi sizin yüzünüzden geleceğimiz kayıyor! #superonline #turkcell",,1,,
Erciyes Teknopark,@ercteknopark,2020-10-15T12:50:56.000Z,"Turkcell İletişim Hizmetleri A.Ş.’nin startuplarla yürüttüğü çalışma modelinin detaylarını, konu ile ilgili 
@Turkcell
 ekibi 
@ercteknopark
 bünyesinde faaliyet gösteren startuplarla çevirimiçi platformda paylaştı. #ErciyesTeknopark #Turkcell #startup",,,,5
Tmr,@Timur9155,2020-10-15T12:38:38.000Z,"Replying to 
@TTDestekEy #turkcell gör gör bunlar hep senin yüzünden",,,,
seraaaa,@kilslseraa,2020-10-15T12:07:09.000Z,"Çok şükür bu ay #vergi ye ve #Turkcell e çalıştım.indirim bekliyorum 
@Turkcell
 .#muegeanli #RTEuenileriac #perşembeThe following media includes potentially sensitive content. Change settings
View",,,,3
Gökeen,@KrtbkGokhan,2020-10-15T11:35:40.000Z,#turkcell  internet neden bu kadar kötü ? Napıyorsunuz ?,,1,,
Burcu Güney,@brcguny,2020-10-15T11:30:34.000Z,"16 gb internete 120 tl para isteyen başka operatör var mı sadece merak ettim 
 Neyseki son ayım turkcellde! #Turkcell 
@Turkcell",🧐,2,,1
Mazlum (S.a),@samseytaninerde,2020-10-15T11:20:46.000Z,"#Turkcell 
Bu dolandırıcılara para yok artık hattımı iptal etmeye gidiyorum Allah’ın cezaları .",,2,,
Ozlemkolanci,@Ozlemkolanci1,2020-10-15T09:07:18.000Z,"#Turkcell  
@Turkcell
 @TurkcellHizmet
 @Murat__Erkan
  süper online internetimi 15 gündür yeni adresime taşıyamadınız. Pandemi sürecinde derslerimizden ve işimizden sayenizde mağduruz. Teşekkürler",,1,,
Bursaspor,@BursasporSk,2020-10-15T07:50:36.000Z,"Instagram’da geçerli 5GB ile Bursaspor’un her golüne 200MB ve galibiyetine 1GB kazanmak için TIMSAH yaz 2200’a gönder, hem sen kazan hem de takımın kazansın! #Turkcell #BursasporDestekPaketleri",,3,6,124
Hüseyin Tuna,@huseyintuna26,2020-10-15T07:39:11.000Z,"Replying to 
@TurkcellHizmet#turkcell mesaj olarak gönderdim. Artık bir çözüm bulun lütfen.",,1,,
Hüseyin Tuna,@huseyintuna26,2020-10-15T07:28:04.000Z,"#Turkcell 17 dakika müşteri hizmetlerinize bağlanmak için bekliyorum ve hâlâ ""beklediğiniz için teşekkür ederiz"" diyorsunuz. Nedir bu yaa...Sabır testi mi , telefon şakası mı?",,1,,
KOBİ YAŞAM,@kobiyasam,2020-10-15T07:18:45.000Z,"TURKCELL’DEN “TEMASSIZ MAĞAZACILIK” UYGULAMASI…

#perşembe #turkcell #Covid_19 #TemassızMağazacılıkTURKCELL’DEN “TEMASSIZ MAĞAZACILIK” UYGULAMASI… • Kobi Yaşam
Turkcell, Covid-19 tedbirleri çerçevesinde “temassız mağazacılık” uygulamasını hayata geçiriyor. Müşteriler, Turkcell mağazalarındaki dijital ekranlara ve uygulamalara cep telefonlarıyla QR kodu...
kobiyasam.com.tr",,,4,3
CEVİZ,@Cevizismail,2020-10-15T06:16:32.000Z,Mevcut tarife 40 lira şu an güncel fatura 284 lira  saat 9 dan 16 ya kadar 10 paket aşımı  ve bu telefonu çocuğum kullanıyor .zoom eğitimi !/hesap soramiyorsun .paket alınacaksa benim iradem yok mu ben alirim.sen neden benim adıma karar aliyorsun.#Turkcell,,,,
AKL-I KEMAL ATAM,@TCEbruliceanlat,2020-10-14T22:32:00.000Z,"Replying to 
@AliEmrahOLGUN1
 @dmd
 and 
@Dmd_ailelerihttps://youtu.be/iq5iAU7ogZM

DMD rahatsizligi olan Furkan kardeşime yardımcı olalım destek olalım lütfen video izlenimleri onlara destek
#Turkcell #SAPIK #AtamDiyeceksiniz #DynamiteSummerRemixes #TikTok #umutsenolistifa #Merkel 
@dmd
 #dmdlinindünyasında 
@Dmd_aileleri
 #Nirvana",🙏 🙏 🙏 👏,,,1
ErzincanGs,@GsErzincan,2020-10-14T22:17:00.000Z,"#turkcell kabul et çekmiyorsunThe following media includes potentially sensitive content. Change settings
View",,,,1
Emre,@patriot_dwarf,2020-10-14T21:58:34.000Z,"Replying to 
@tncribrahim
 @VodafoneTR
 and 
@VodafoneDestek@VodafoneTR
 pişmanlıktır. 1 kere #Turkcell'den geçtim, 1 hafta sonra cezayı ödeyerek geri dönüş yaptım.",,1,,
